,ID,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Demand_Type
0,CTY_ALH_INDOOR,6385.715384,533.881632,534.7645365,533.6373207,533.5395463,531.4430149,530.8788451,529.940997,529.9183329,530.7019645,531.1631776,532.508107,533.3379099,Indoor
1,CTY_ARC_INDOOR,7077.897509,568.5827704,566.1678519,570.1180874,587.2323845,590.7483167,599.4929304,610.0623048,610.2670871,605.3647104,601.4714841,588.3429914,580.0465897,Indoor
2,CTY_AZU_INDOOR,11441.58583,975.9255229,981.3002025,973.5539458,960.2179746,950.1835546,940.8788125,926.4731484,926.5221336,936.1654666,942.868858,957.349242,970.1469719,Indoor
3,CTY_BEL_INDOOR,571.7378917,47.64482431,47.64482431,47.64482431,47.64482431,47.64482431,47.64482431,47.64482431,47.64482431,47.64482431,47.64482431,47.64482431,47.64482431,Indoor
4,CTY_BHL_INDOOR,5847.353675,491.7031398,492.6772262,491.2959612,488.3756657,486.2507433,485.6301559,483.4738113,482.1095666,483.7812683,484.3634508,487.2307214,490.4619651,Indoor
5,CTY_BUR_INDOOR,9788.684329,829.3389687,834.7889709,830.3382587,821.5769562,812.8943186,808.134478,799.587353,799.587353,805.8359882,808.5262661,817.8907685,820.1846491,Indoor
6,CTY_CER_INDOOR,4094.23576,341.4318345,341.494499,341.321185,341.2621416,341.124829,341.0815566,340.9303559,340.9493612,340.9997205,341.1113782,341.1967125,341.3321857,Indoor
7,CTY_COV_INDOOR,2711.345137,234.7507224,237.0773345,236.0169533,228.8220443,224.8448245,221.2477814,215.7775669,214.7411308,218.1469598,221.2737616,226.3075089,232.3385489,Indoor
8,CTY_CPT_INDOOR,4450.792901,371.5877545,371.8738995,371.4872863,371.2907355,370.6596462,370.4293475,369.9644924,370.2237084,370.2238483,370.6357395,370.8722281,371.5442147,Indoor
9,CTY_DOW_INDOOR,9368.209634,784.5704891,786.3574648,785.701691,782.3112623,779.6026211,778.7812808,774.5617768,775.9153608,777.116362,778.7802219,780.8990211,783.6120823,Indoor
10,CTY_ELM_INDOOR,1536.965114,128.48972,128.9085303,128.5101309,128.2428519,127.9232538,127.9525783,126.8941844,127.6625631,127.8115108,127.7830906,128.2385888,128.5481106,Indoor
