,ID,Initial_Volume
0,INF_BTD,0.0
1,INF_CAS,243000.0
2,INF_COL,0.0
3,INF_DVR,607500.0
4,INF_HAN,55500.0
5,INF_LAR,225420.0
6,INF_LMR,136500.0
7,INF_LOD,1875.0
8,INF_MOR,29475.0
9,INF_PCD,0.0
10,INF_PUD,16674.0
11,INF_SAD,0.0
12,INF_SFD,0.0
13,INF_SFN,33750.0
14,INF_SGD,33750.0
15,INF_SND,1125.0
16,INF_SPV,12975.0
17,INF_SWP,0.0
18,INF_WHR,25125.0
19,INF_WHS,25125.0
20,MWD_CBR,0.0
21,MWD_CBS,0.0
22,MWD_FTH,0.0
23,MWD_FTR,0.0
24,MWD_LVR,0.0
25,MWD_MET,0.0
26,MWD_SGR,0.0
27,MWD_SGV,0.0
28,MWD_THR,0.0
29,MWD_THV,0.0
30,MWD_USG,0.0
31,MWD_USR,0.0
32,MWD_WCB,0.0
33,MWD_WCR,0.0
34,SPG_ANI,0.0
35,SPG_BDS,0.0
36,SPG_BEN,0.0
37,SPG_BRF,0.0
38,SPG_BVS,0.0
39,SPG_CIT,0.0
40,SPG_DOM,0.0
41,SPG_EAB,0.0
42,SPG_ESG,0.0
43,SPG_FOR,0.0
44,SPG_HSG,0.0
45,SPG_IRW,0.0
46,SPG_LIT,0.0
47,SPG_LOP,0.0
48,SPG_LOS,0.0
49,SPG_PCS,0.0
50,SPG_PEC,0.0
51,SPG_RSF,0.0
52,SPG_SAW,0.0
53,SPG_SFG,0.0
54,SPG_SGC,0.0
55,SPG_SGY,0.0
56,SPG_SMD,0.0
57,SPG_SND,0.0
58,SPG_TUJ,0.0
59,SPG_WAL,0.0
60,SUR_ASE,0.0
61,SUR_BAL,0.0
62,SUR_BAC,0.0
63,SUR_SDL,0.0
64,SUR_BDU,0.0
65,SUR_BDS,0.0
66,SUR_BTD,0.0
67,SUR_BRF,0.0
68,SUR_BVS,0.0
69,SUR_BDM,0.0
70,SUR_COY,0.0
71,SUR_DOM,0.0
72,SUR_EAB,0.0
73,SUR_EAT,0.0
74,SUR_SDM,0.0
75,SUR_HAN,0.0
76,SUR_BDL,0.0
77,SUR_LIT,0.0
78,SUR_LOS,0.0
79,SUR_PCU,0.0
80,SUR_LAL,0.0
81,SUR_SGL,0.0
82,SUR_MAL,0.0
83,SUR_MAC,0.0
84,SUR_MOR,0.0
85,SUR_PCD,0.0
86,SUR_PCL,0.0
87,SUR_SAL,0.0
88,SUR_PUD,0.0
89,SUR_RHU,0.0
90,SUR_SND,0.0
91,SUR_SDU,0.0
92,SUR_SGD,0.0
93,SUR_SGU,0.0
94,SUR_SGC,0.0
95,SUR_SGP,0.0
96,SUR_SJC,0.0
97,SUR_SAC,0.0
98,SUR_SAU,0.0
99,SUR_SAW,0.0
100,SUR_SMD,0.0
101,SUR_SPV,0.0
102,SUR_THM,0.0
103,SUR_LAU,0.0
104,SUR_VER,0.0
105,SUR_WLL,0.0
106,SUR_WLU,0.0
107,SUR_ALH,0.0
108,SUR_ARC,0.0
109,SUR_COV,0.0
110,SUR_OWN,0.0
111,SUR_PAC,0.0
112,SUR_RHL,0.0
113,SUR_SGM,0.0
114,SUR_SGO,0.0
115,SUR_TUJ,0.0
116,SUR_TUU,0.0
117,SUR_OIL,0.0
