,Origin_Node,End_Node,Root_Node,Type,Type_detailed,Capacity,Consider_deletion,Notes
1,MWD_CBS,CTY_DOW_INDOOR,CTY_DOW,Imported,Imported,10000,0,
2,MWD_CBS,CTY_DOW_OUTDOOR,CTY_DOW,Imported,Imported,10000,0,
3,MWD_WCB,CTY_ING_INDOOR,CTY_ING,Imported,Imported,8425,0,SBF added link based on 2015 UWMP 
4,MWD_WCB,CTY_ING_OUTDOOR,CTY_ING,Imported,Imported,8425,0,SBF added link based on 2015 UWMP 
5,GWB_RAY,IRR_LAC_INDOOR,IRR_LAC,Groundwater,Groundwater,100,0,
6,GWB_RAY,IRR_LAC_OUTDOOR,IRR_LAC,Groundwater,Groundwater,100,0,
7,MWD_CBS,CTY_NOR_INDOOR,CTY_NOR,Imported,Imported,1700,0,
8,MWD_CBS,CTY_NOR_OUTDOOR,CTY_NOR,Imported,Imported,1700,0,
9,MWD_CBS,CTY_SIG_INDOOR,CTY_SIG,Imported,Imported,2000,0,
10,MWD_CBS,CTY_SIG_OUTDOOR,CTY_SIG,Imported,Imported,2000,0,
11,MWD_CBS,CWD_ORC_INDOOR,CWD_ORC,Imported,Imported,100,0,
12,MWD_CBS,CWD_ORC_OUTDOOR,CWD_ORC,Imported,Imported,100,0,
13,SUR_SDM,IOU_GS_SD_OUTDOOR,IOU_GS_SD,Surface,Surface_use,200,0,
14,SUR_SDM,IOU_GS_SD_INDOOR,IOU_GS_SD,Surface,Surface_use,200,0,
15,SUR_SAU,CTY_SIE_INDOOR,CTY_SIE,Surface,Surface_use,228,0,
16,SUR_SAU,CTY_SIE_OUTDOOR,CTY_SIE,Surface,Surface_use,228,0,
17,GWB_SPA,CTY_PNM_INDOOR,CTY_PNM,Groundwater,Groundwater,250,0,
18,GWB_SPA,CTY_PNM_OUTDOOR,CTY_PNM,Groundwater,Groundwater,250,0,
19,MWD_CBS,CWD_LAH_INDOOR,CWD_LAH,Imported,Imported,260,0,
20,MWD_CBS,CWD_LAH_OUTDOOR,CWD_LAH,Imported,Imported,260,0,
21,GWB_PUE,CWD_ROW_INDOOR,CWD_ROW,Groundwater,Groundwater,306,0,
22,GWB_PUE,CWD_ROW_OUTDOOR,CWD_ROW,Groundwater,Groundwater,306,0,
23,GWB_PUE,CWD_WVA_INDOOR,CWD_WVA,Groundwater,Groundwater,306,0,
24,GWB_PUE,CWD_WVA_OUTDOOR,CWD_WVA,Groundwater,Groundwater,306,0,
25,GWB_PUE,CTY_IND_INDOOR,CTY_IND,Groundwater,Groundwater,500,0,revised to meet baseline demand
26,GWB_PUE,CTY_IND_OUTDOOR,CTY_IND,Groundwater,Groundwater,500,0,revised to meet baseline demand
27,GWB_MSG,MWC_AMA_INDOOR,MWC_AMA,Groundwater,Groundwater,400,0,
28,GWB_MSG,MWC_AMA_OUTDOOR,MWC_AMA,Groundwater,Groundwater,400,0,
29,GWB_RAY,PRV_RAY_INDOOR,PRV_RAY,Groundwater,Groundwater,560,0,increased to meet baseline demand
30,GWB_RAY,PRV_RAY_OUTDOOR,PRV_RAY,Groundwater,Groundwater,560,0,increased to meet baseline demand
31,GWB_MSG,CTY_COV_INDOOR,CTY_COV,Groundwater,Groundwater,6578,0,
32,GWB_MSG,CTY_COV_OUTDOOR,CTY_COV,Groundwater,Groundwater,6578,0,
33,GWB_CEN,CWD_SAV_INDOOR,CWD_SAV,Groundwater,Groundwater,830,0,increased to meet baseline demand
34,GWB_CEN,CWD_SAV_OUTDOOR,CWD_SAV,Groundwater,Groundwater,830,0,increased to meet baseline demand
35,GWB_SMC,IOU_GS_CC_INDOOR,IOU_GS_CC,Groundwater,Groundwater,500,0,
36,GWB_SMC,IOU_GS_CC_OUTDOOR,IOU_GS_CC,Groundwater,Groundwater,500,0,
37,MWD_CBS,IOU_GS_BBG_INDOOR,IOU_GS_BBG,Imported,Imported,500,0,
38,MWD_CBS,IOU_GS_BBG_OUTDOOR,IOU_GS_BBG,Imported,Imported,500,0,
39,GWB_RAY,IRR_KIN_INDOOR,IRR_KIN,Groundwater,Groundwater,520,0,
40,GWB_RAY,IRR_KIN_OUTDOOR,IRR_KIN,Groundwater,Groundwater,520,0,
41,GWB_RAY,MWC_LAV_INDOOR,MWC_LAV,Groundwater,Groundwater,2069,0,
42,GWB_RAY,MWC_LAV_OUTDOOR,MWC_LAV,Groundwater,Groundwater,2069,0,
43,GWB_SPA,CWD_WVA_INDOOR,CWD_WVA,Groundwater,Groundwater,600,0,
44,GWB_SPA,CWD_WVA_OUTDOOR,CWD_WVA,Groundwater,Groundwater,600,0,
45,MWD_MET,CTY_SFE_INDOOR,CTY_SFE,Imported,Imported,630,0,
46,MWD_MET,CTY_SFE_OUTDOOR,CTY_SFE,Imported,Imported,630,0,
47,MWD_THV,CTY_COV_INDOOR,CTY_COV,Imported,Imported,3000,0,
48,MWD_THV,CTY_COV_OUTDOOR,CTY_COV,Imported,Imported,3000,0,
49,MWD_FTH,MWC_RUB_INDOOR,MWC_RUB,Imported,Imported,730,0,
50,MWD_FTH,MWC_RUB_OUTDOOR,MWC_RUB,Imported,Imported,730,0,
51,GWB_CEN,MWC_MA1_INDOOR,MWC_MA1,Groundwater,Groundwater,741,0,
52,GWB_CEN,MWC_MA1_OUTDOOR,MWC_MA1,Groundwater,Groundwater,741,0,
53,MWD_FTH,MWC_LFL_INDOOR,MWC_LFL,Imported,Imported,780,0,
54,MWD_FTH,MWC_LFL_OUTDOOR,MWC_LFL,Imported,Imported,780,0,
55,MWD_FTH,MWC_MCR_INDOOR,MWC_MCR,Imported,Imported,808,0,
56,MWD_FTH,MWC_MCR_OUTDOOR,MWC_MCR,Imported,Imported,808,0,
57,GWB_CEN,CTY_WHT_INDOOR,CTY_WHT,Groundwater,Groundwater,5000,0,
58,GWB_CEN,CTY_WHT_OUTDOOR,CTY_WHT,Groundwater,Groundwater,5000,0,
59,MWD_USG,CWD_VAL_INDOOR,CWD_VAL,Imported,Imported,3000,0,
60,MWD_USG,CWD_VAL_OUTDOOR,CWD_VAL,Imported,Imported,3000,0,
61,MWD_CBS,CTY_LYN_INDOOR,CTY_LYN,Imported,Imported,9100,0,
62,MWD_CBS,CTY_LYN_OUTDOOR,CTY_LYN,Imported,Imported,9100,0,
63,GWB_WCS,IOU_CWS_PV_INDOOR,IOU_CWS_PV,Groundwater,Groundwater,0,0,
64,GWB_WCS,IOU_CWS_PV_OUTDOOR,IOU_CWS_PV,Groundwater,Groundwater,0,0,
65,MWD_MET,CTY_SFS_INDOOR,CTY_SFS,Imported,Imported,1000,0,
66,MWD_MET,CTY_SFS_OUTDOOR,CTY_SFS,Imported,Imported,1000,0,
67,MWD_CBS,IOU_GS_ART_INDOOR,IOU_GS_ART,Imported,Imported,1000,0,
68,MWD_CBS,IOU_GS_ART_OUTDOOR,IOU_GS_ART,Imported,Imported,1000,0,
69,MWD_CBS,IOU_GS_FG_INDOOR,IOU_GS_FG,Imported,Imported,1000,0,
70,MWD_CBS,IOU_GS_FG_OUTDOOR,IOU_GS_FG,Imported,Imported,1000,0,
71,GWB_MSG,CTY_IND_INDOOR,CTY_IND,Groundwater,Groundwater,1300,0,revised to meet baseline demand
72,GWB_MSG,CTY_IND_OUTDOOR,CTY_IND,Groundwater,Groundwater,1300,0,revised to meet baseline demand
73,GWB_MSG,CWD_LAP_INDOOR,CWD_LAP,Groundwater,Groundwater,1130,0,
74,GWB_MSG,CWD_LAP_OUTDOOR,CWD_LAP,Groundwater,Groundwater,1130,0,
75,GWB_WCS,CTY_MBC_INDOOR,CTY_MBC,Groundwater,Groundwater,1131,0,
76,GWB_WCS,CTY_MBC_OUTDOOR,CTY_MBC,Groundwater,Groundwater,1131,0,
77,MWD_CBS,CTY_CER_INDOOR,CTY_CER,Imported,Imported,1150,0,
78,MWD_CBS,CTY_CER_OUTDOOR,CTY_CER,Imported,Imported,1150,0,
79,MWD_THV,IOU_SWS_SJH_INDOOR,IOU_SWS_SJH,Imported,Imported,4500,0,
80,MWD_THV,IOU_SWS_SJH_OUTDOOR,IOU_SWS_SJH,Imported,Imported,4500,0,
81,GWB_RAY,MWC_RUB_INDOOR,MWC_RUB,Groundwater,Groundwater,2000,0,
82,GWB_RAY,MWC_RUB_OUTDOOR,MWC_RUB,Groundwater,Groundwater,2000,0,
83,GWB_CEN,CWD_ORC_INDOOR,CWD_ORC,Groundwater,Groundwater,2000,0,updated based on 2020 UWMP
84,GWB_CEN,CWD_ORC_OUTDOOR,CWD_ORC,Groundwater,Groundwater,2000,0,updated based on 2020 UWMP
85,GWB_CEN,IRR_SMT_INDOOR,IRR_SMT,Groundwater,Groundwater,1270,0,
86,GWB_CEN,IRR_SMT_OUTDOOR,IRR_SMT,Groundwater,Groundwater,1270,0,
