From,To,Type,From_X,From_Y,To_X,To_Y,Capacity
MWD_SGV,GWB_MSG,String,0,0,0,0,0
GWB_CEN,IRR_SMT,String,0,0,0,0,1268
GWB_CEN,MWC_MA1,String,0,0,0,0,741
GWB_CEN,MWC_MA2,String,0,0,0,0,806
GWB_CEN,MWC_MA3,String,0,0,0,0,1126
GWB_CEN,CTY_BEL,String,0,0,0,0,1380
GWB_CEN,MWC_MON,String,0,0,0,0,1694
GWB_CEN,CTY_LAX,String,0,0,0,0,17236
GWB_CEN,CTY_LKW,String,0,0,0,0,9432
GWB_CEN,CTY_HUP,String,0,0,0,0,3853
GWB_CEN,CTY_DOW,String,0,0,0,0,16553
GWB_CEN,CTY_CER,String,0,0,0,0,4680
GWB_CEN,MWC_BLS,String,0,0,0,0,4312
GWB_CEN,CWD_SAV,String,0,0,0,0,474
GWB_CEN,CWD_PIC,String,0,0,0,0,3624
GWB_CEN,CWD_ORC,String,0,0,0,0,1254
GWB_CEN,CWD_LAH,String,0,0,0,0,2596
GWB_CEN,IOU_CAW,String,0,0,0,0,2067
GWB_CEN,IOU_CWS,String,0,0,0,0,18254
GWB_CEN,IOU_SGV,String,0,0,0,0,2565
GWB_CEN,PRV_CEN,String,0,0,0,0,3987
GWB_CEN,PRV_COC,String,0,0,0,0,306
GWB_CEN,MWD_CBS,String,0,0,0,0,174000
GWB_CEN,CTY_WHT,String,0,0,0,0,895
GWB_CEN,CTY_VER,String,0,0,0,0,7539
GWB_CEN,CTY_SGT,String,0,0,0,0,11183
GWB_CEN,CTY_SIG,String,0,0,0,0,2022
GWB_CEN,CTY_PCR,String,0,0,0,0,5579
GWB_CEN,CTY_PAR,String,0,0,0,0,5883
GWB_CEN,CTY_SFS,String,0,0,0,0,4035
GWB_CEN,CTY_NOR,String,0,0,0,0,2273
GWB_CEN,CTY_LYN,String,0,0,0,0,5337
GWB_CEN,IOU_SWS,String,0,0,0,0,2460
GWB_CEN,CTY_LBH,String,0,0,0,0,32692
GWB_CEN,CTY_CPT,String,0,0,0,0,5780
GWB_CEN,IOU_GSM,String,0,0,0,0,16439
GWB_CHI,IOU_GSM,String,0,0,0,0,411
GWB_CHI,CTY_PNM,String,0,0,0,0,11215
CTY_GDL,CWD_LA1,String,0,0,0,0,60
GWB_HOL,CTY_BHL,String,0,0,0,0,1311
GWB_MSG,MWC_CDM,String,0,0,0,0,12069
GWB_MSG,IOU_SWS,String,0,0,0,0,34219
GWB_MSG,IOU_CAW,String,0,0,0,0,13188
GWB_MSG,CTY_SPA,String,0,0,0,0,3567
GWB_MSG,CTY_AZU,String,0,0,0,0,16487
GWB_MSG,CWD_VAL,String,0,0,0,0,5959
GWB_MSG,IOU_SGV,String,0,0,0,0,20070
GWB_MSG,CWD_SGB,String,0,0,0,0,5395
GWB_MSG,CTY_ELM,String,0,0,0,0,2784
GWB_MSG,CTY_MON,String,0,0,0,0,7214
GWB_MSG,CTY_GDR,String,0,0,0,0,9428
GWB_MSG,CTY_ARC,String,0,0,0,0,8361
GWB_MSG,CWD_LAP,String,0,0,0,0,1130
GWB_MSG,CTY_ALH,String,0,0,0,0,8812
GWB_MSG,CTY_IND,String,0,0,0,0,1103
GWB_MSG,CTY_IRW,String,0,0,0,0,376
GWB_MSG,CTY_WHT,String,0,0,0,0,8721
GWB_MSG,CTY_COV,String,0,0,0,0,473
GWB_MSG,IOU_GSM,String,0,0,0,0,9515
GWB_MSG,MWC_COV,String,0,0,0,0,6578
GWB_MSG,PRV_MSG,String,0,0,0,0,22906
GWB_MSG,CTY_MTP,String,0,0,0,0,6704
GWB_MSG,PRV_MOC,String,0,0,0,0,313
IOU_SGV,MWC_SSL,String,0,0,0,0,2228
IOU_SGV,MWC_AMA,String,0,0,0,0,769
MWD_USG,GWB_MSG,String,0,0,0,0,0
MWD_THV,GWB_MSG,String,0,0,0,0,0
