,test,predict
0,1855.8089465850262,1678.5085924161417
1,1862.3379258652024,1722.0945378915155
2,1862.4565478585148,1706.2183460113029
3,1952.9689445004885,1786.7932154740868
4,1963.2146586106605,1855.859922702493
5,2005.0337735227408,2753.8421457962304
6,2018.5697472142429,1815.3246794066313
7,2029.075771806113,1866.3688237527267
8,2044.3161538421887,1946.6855708524813
9,2053.331507403746,2298.701139865638
10,2054.0629701336816,2515.3854907606005
11,2055.069208430659,2003.9236199158365
12,2059.1115796281306,2410.8019921925993
13,2060.5220951159254,2563.4518782803284
14,2060.62237888719,2001.171139823875
15,2061.1585131865063,1921.3849426942957
16,2061.3764104968145,2083.6496335181555
17,2062.091292360344,2583.794118543808
18,2066.24378024861,2194.7392545785465
19,2066.2554863656487,2164.8365818961206
20,2067.558558895218,2097.4460996384964
21,2067.5907387379716,2886.0629778892157
22,2076.8837557951065,2804.5195622652413
23,2076.9626122450827,2462.1853721029906
24,2076.962903183593,2307.4710343711804
25,2076.9629419951398,2457.3445321318604
26,2078.314666389659,2496.2609522546204
27,2078.657048798055,1797.1706725281733
28,2079.0080780200365,2386.2212205147175
29,2079.2688259717015,2554.5033216523984
30,2079.2830058757404,1872.6184637121216
31,2079.2906443794654,1899.2549874593278
32,2082.1388797663712,2370.8164603326936
33,2082.302365419119,2357.7389245610816
34,2082.836788734652,2558.2657865518654
35,2082.838477500098,2769.920533300919
36,2083.105384135735,2297.472938413242
37,2083.1101832348986,2213.6494232354576
38,2084.7574327804086,2601.704040265218
39,2084.7589130233,2544.9846925228817
40,2085.420858273813,1856.671329167763
41,2086.097443089463,1770.568946165035
42,2086.097486133559,1780.2417736599064
43,2086.0991299923385,1785.343103100405
44,2086.474027257879,2291.0504578500913
45,2087.130658645226,2809.34701643117
46,2088.6933012715713,2522.142434347366
47,2088.7095960636893,2299.6913315776947
48,2088.709600038842,2426.4113375831957
49,2089.14987084188,2609.8248587685907
50,2089.150110971002,2340.682842525377
51,2089.150111027057,2295.0134158196447
52,2089.755678985569,2539.78218936354
53,2090.1731139135327,2703.252379115646
54,2090.173128366036,2999.8255254036344
55,2090.1734872255815,3169.0800321334746
56,2090.583106324879,1897.256109118298
57,2091.2997804377374,2522.6652008899196
58,2092.644828152889,2267.168025275934
59,2094.2738222114504,2480.3853614796544
60,2094.89012297171,2350.6127805452197
61,2096.703820623556,2597.378360019295
62,2097.757231698901,2677.562030877159
63,2097.8352290088665,2507.461947123997
64,2097.8807640652626,2394.173103461283
65,2097.8807852616824,2443.175750887968
66,2097.979973076761,2556.823655492182
67,2098.5985271103978,1997.385412273332
68,2098.854373718818,2333.224219814907
69,2099.2961952931064,1810.2074084232568
70,2100.4194909464977,2501.9846996081446
71,2101.6392985355037,2034.0809629885878
72,2101.65981653406,2079.5062833990864
73,2102.7318414486094,2151.930227909727
74,2103.5466720258014,2150.097912244878
75,2105.638298741782,2259.91805688691
76,2106.7904465299257,2176.277171978492
77,2106.962968292244,2282.4869575899643
78,2107.5895883558323,1763.6825522205675
79,2107.590513106522,1749.9438906169771
80,2107.590565496762,1785.4230393876328
81,2108.497545184395,2650.850975582878
82,2108.5052476322417,2574.909041864809
83,2108.5079081499684,2538.0815115988485
84,2108.5372852739756,2766.319015604909
85,2110.8738431337424,2665.8074433247416
86,2111.174605579009,2038.827511746004
87,2112.80412313975,2303.7055833669187
88,2113.4798976193724,1809.966079509788
89,2115.8326567862628,2579.8385746696163
90,2116.5071363962174,2661.5997692595815
91,2120.1029632853592,2417.039680815792
92,2120.195246115798,2702.385127438631
93,2120.246054462869,2796.245213387951
94,2120.644657023341,2353.6912081699084
95,2121.364209176363,3112.5783422783975
96,2121.457972766429,2128.1953943709127
97,2121.461705313652,2456.47458838221
98,2121.4617341032913,2436.597520239367
99,2121.7535695136426,2182.119977303309
100,2122.039476273934,1930.2828136405778
101,2122.0396044090166,2995.771072084283
102,2122.2149491855625,2462.365649867574
103,2122.235733951721,2493.6083730025125
104,2124.3206597578605,2391.0376531393317
105,2124.428137111229,1874.807656487896
106,2125.2316175453298,2701.627060330123
107,2125.389515079276,2522.842626769777
108,2125.446749795376,2201.668307717876
109,2125.6632372847967,2429.647884672065
110,2127.0172345741826,3149.0259557054483
111,2127.0398246345612,2770.466636146707
112,2128.3921510281302,2504.0823825889515
113,2128.7409612361007,2281.57355137684
114,2130.4139981094268,2904.6750276212983
115,2131.117493490668,2871.8462503096052
116,2131.2430944508233,2396.0656739803558
117,2131.3565354668094,2003.2115032559482
118,2131.567741697689,2448.9426773401256
119,2132.424332297318,2320.944351136914
120,2133.630946280862,2398.786077802267
121,2135.560107882373,2117.389240126779
122,2136.355891479961,2203.9114496996726
123,2137.1707773414955,2181.692419808141
124,2138.5892030800883,2060.061151075857
125,2138.861338260859,2692.178296804356
126,2139.9549927666444,2154.1433604949366
127,2140.35194855134,2224.0737312391693
128,2141.379330816725,2090.3633960564107
129,2141.6648291361234,2357.9870203273763
130,2141.8981739023106,2244.039969955992
131,2144.0022666940704,1949.1820458031607
132,2144.3632827483452,2130.6264818664868
133,2144.7225526388092,2042.6107854082402
134,2145.98118934967,2466.543262406948
135,2147.571863459418,3564.8793083909436
136,2147.709850700458,2440.8031047390396
137,2149.0118244143396,2338.465017010602
138,2149.9341968809545,2443.658854534554
139,2149.9344669484512,2469.1697323121793
140,2150.208101053245,2310.676413436457
141,2152.3687824907515,2301.8453661483895
142,2153.0429683239036,2276.365147094964
143,2153.043051352751,2303.6255808763267
144,2154.4009703464653,2638.92509010399
145,2155.344196578209,1428.1826323489083
146,2155.852522986975,1925.5861309488087
147,2156.829882375704,2744.786970831376
148,2159.8807981478276,2302.1103020848864
149,2161.3298998529995,2327.296066854896
150,2161.9205157074216,1354.3375537984361
151,2163.5371936726438,2258.5831944458178
152,2164.2807628150736,2575.229682917596
153,2164.5265953820285,2254.702645729731
154,2166.1250973535316,1868.5773042225187
155,2166.316975892374,2466.4413324375346
156,2166.6544231148378,2157.932901249652
157,2166.8827729277573,2081.83087649895
158,2167.0103428348407,2070.1084666152447
159,2168.4415254359133,2396.121694541847
160,2169.8410534022237,2249.917329230459
161,2171.1333075181683,3271.2319299963224
162,2171.823560185085,2367.576833312545
163,2172.42152476434,2579.520003656626
164,2172.52034165431,1678.3289050803653
165,2172.739426698507,2302.6271178389475
166,2173.1957971475344,2166.9009776935336
167,2174.5525331248764,2821.117873809538
168,2174.5527031597358,2449.0760325889246
169,2176.172478450707,2425.8048262837474
170,2177.5788608685293,2620.543663960599
171,2178.7783589290725,2813.368951452397
172,2178.7784091867848,2558.014848231814
173,2178.8459977065168,2277.6892653816208
174,2179.316227177126,1648.9009879795442
175,2180.0476811542976,3017.220049892431
176,2183.8060483414347,2312.9267852016783
177,2186.72907241243,1744.2910345960026
178,2188.8528763966838,2582.0207410024354
179,2188.8531902335712,2173.6919126436665
180,2189.003236617227,2678.1736054344215
181,2189.8144546270423,2737.929826373732
182,2190.509647257718,2729.7239205665983
183,2190.510215138924,2756.3498516797213
184,2190.8949112603045,2041.412929463456
185,2190.9137696927355,2386.9389137023722
186,2190.9542652869227,7095.130700183432
187,2191.2074424063794,2640.106600595514
188,2191.9375678642077,2470.080422742137
189,2191.9390743540976,2150.5972715369135
190,2192.1503777666803,2652.322761714249
191,2193.4136352144506,7565.661672057775
192,2193.6530633041557,2364.7400729199167
193,2195.3091540061946,2213.796305543503
194,2195.815510098096,2067.933981833379
195,2196.014148039293,2730.1557072688443
196,2196.014304291308,2647.8019959069957
197,2196.950402415185,2186.507986302378
198,2197.9952982585105,2197.913900741637
199,2198.1990708360895,1790.6291206121905
200,2198.574574146254,2373.629017956422
201,2199.1945777364244,6059.41010094533
202,2199.480287706375,2277.4910229896254
203,2199.5664798135886,2630.6271114480055
204,2200.0062991022405,2952.714949504088
205,2200.207362102814,2630.7882871021025
206,2200.2078675658045,2573.164592735881
207,2200.3976613520394,2514.6496888768247
208,2201.5929279555653,2174.891576594225
209,2201.751103521351,1901.920244512687
210,2201.751103521351,2020.7976773203081
211,2201.7517595557233,1879.5213555702217
212,2202.6253764020685,1951.6878096289336
213,2203.7769001703555,2587.3086759295934
214,2204.3925767131996,2754.259528665353
215,2205.6041839788845,1759.4345028266375
216,2205.6044080218253,1738.5862453091681
217,2206.5073837919026,2120.682179728403
218,2208.932296255032,1868.0603983359413
219,2208.932319723312,1789.1487872709633
220,2209.519340264561,1939.3084616110468
221,2211.7848058366367,2453.503408668657
222,2215.093948177795,2674.6207469000697
223,2219.59910472559,2510.4802757426683
224,2220.125046555469,2202.040719814922
225,2221.1409026794145,2351.159660578241
226,2222.359049961954,1515.0908992347156
227,2222.858135144287,2527.56602897623
228,2222.9521424537534,1739.7283824967446
229,2223.2241312692345,2459.0609095357954
230,2223.3823722360403,2591.3333361296004
231,2226.3113385804636,13885.486219470758
232,2231.698875545058,1932.2373135434136
233,2232.0021386925364,2209.658506498657
234,2234.9905237381654,2702.9435478860673
235,2235.655796722429,2642.793162166544
236,2235.851253459177,2368.9099225580253
237,2236.08059001794,2711.415284012953
238,2236.0807255277937,2728.13469482777
239,2236.343802100045,2482.101499264862
240,2236.344434619733,2758.7148528609337
241,2237.7287490587846,2892.7986909732267
242,2239.29419659723,2226.476080935279
243,2240.3193451936118,2164.4769871257718
244,2241.8823883593573,2582.4142483754654
245,2241.8843716356223,2719.619351455393
246,2242.3909401240626,2613.000878845431
247,2242.3916942405017,2878.2699558285162
248,2242.7440942081475,2015.4940876991877
249,2244.3942287576574,2378.293403835579
250,2244.4066085430854,2356.8873262797733
251,2244.406613645582,2383.617855729803
252,2245.5546546011983,2596.3535057967288
253,2245.895274921518,2485.004658691261
254,2247.6718713520772,2498.056207005992
255,2247.9019106927867,2932.221647492846
256,2249.0123447388537,1980.8704586922304
257,2252.8020885568862,2623.9878577085597
258,2253.8982997864155,2150.7781632252913
259,2254.9180632161138,2052.047728434629
260,2255.0978711190924,3053.2432331998702
261,2258.0296544351413,2133.3775375795517
262,2260.518288339086,2178.9160994296194
263,2261.328107573123,2620.0655484617278
264,2261.7638783513785,2674.846244088803
265,2262.6089967190896,2583.9500480660613
266,2263.024965968904,2841.223219529176
267,2265.8860904703624,2318.344179875108
268,2267.4085942444044,1841.8816635664678
269,2269.7794028143894,2708.2414601401138
270,2269.7800255561065,2790.2084388987437
271,2271.5959077504526,2862.497231425397
272,2271.609099525723,1758.666692244102
273,2273.8460250933626,2724.005165397219
274,2278.329587739584,1706.875064915604
275,2279.5341296916836,3437.478147692142
276,2280.4172828948167,2993.6431323825786
277,2283.514067581165,2590.9745747049274
278,2286.3207074455777,3110.18639902932
279,2287.865021680446,3482.435375181313
280,2289.021785621885,3415.175230220266
281,2289.021785621885,3200.2452091259843
282,2289.1387381511854,2232.3237449174694
283,2295.585311978021,2319.9945457161216
284,2295.625675465802,2002.2618011087452
285,2295.7880379670996,2159.8745217805977
286,2297.1444317291953,2427.799034951912
287,2297.44579579052,3246.794750392173
288,2297.445797572677,3287.1749272664306
289,2298.279297343459,2559.8764556323854
290,2298.3693351710886,1710.4450391199125
291,2298.4883657078453,5819.487156381845
292,2299.5759199566614,2352.5625516045493
293,2299.8112899987973,3257.0997387646253
294,2300.8443062308525,3866.8743248611268
295,2300.979969028538,3131.007107752663
296,2301.0154161949035,2549.8095002673604
297,2301.674938719443,1983.510751152463
298,2302.1642918251296,2436.7340853878136
299,2304.836411513332,2565.8463305344544
300,2304.8850315591253,2229.799963594453
301,2306.42714868899,2115.5443514565973
302,2306.663772499771,2148.275660554304
303,2307.0067746202926,2099.602506895078
304,2309.1016884599835,2299.654796504073
305,2310.9177018276214,2030.484939211036
306,2315.127271542521,2177.8337064181896
307,2318.714593377662,2117.8020951556855
308,2318.7146042661684,2012.96386583935
309,2323.379289487552,2945.238516203905
310,2323.3792941749016,2743.1710419090846
311,2324.327262135027,2257.3025612394854
312,2324.898184475955,2343.8831710118934
313,2324.900891685075,2771.389206071665
314,2326.0218082177826,2654.721334977684
315,2326.0230024780417,2739.318992826133
316,2326.0242654971985,2001.6809711914987
317,2326.1100722640504,2549.5591052903287
318,2330.4941870235134,2959.0461735669164
319,2330.680974093446,1920.2829040374193
320,2330.87662285535,2392.8821159238064
321,2330.9591893346405,2566.408177209676
322,2330.95922775458,2942.833815645024
323,2330.9592769566375,3007.490887842416
324,2332.7045730887826,2222.7735487142136
325,2335.772272204771,2531.3823095726907
326,2335.8663786567317,2728.02663196773
327,2337.7605276555496,2513.3069107721717
328,2340.1819974249647,2254.728616606643
329,2340.696807287293,2325.2062622650265
330,2348.059052676594,2072.386381582893
331,2349.1167073299002,2904.4764957762054
332,2349.2393969427058,2948.0951214267775
333,2351.404020592719,2103.8949761867684
334,2352.1740212008044,2546.92663247022
335,2352.2984568714733,3147.707765918613
336,2352.8114705020575,3356.2989895688916
337,2352.939005840131,2039.63129682937
338,2353.590683363446,2203.135332077172
339,2356.93568392475,2564.8671625792363
340,2359.1695545715597,2276.648866441908
341,2359.1696421221277,2214.2697714892993
342,2362.337865704907,2229.226399764923
343,2362.33871609864,3404.0887364228197
344,2362.907887500362,2211.742222277549
345,2364.5517916547874,2146.198198955
346,2364.605592469309,2486.706947460439
347,2365.1908406966536,1663.3347621470643
348,2365.754375842187,1953.730467249296
349,2367.6294016334614,2175.4495778347414
350,2369.8110269757817,1985.170873622794
351,2370.538257043871,2435.6524572654876
352,2370.8995254808724,2361.483001639453
353,2371.428299773749,2013.908325140515
354,2379.6610556203623,2373.1376809787575
355,2380.027217272158,2805.570420804627
356,2381.9047147272468,2213.1633614148777
357,2382.8645946818538,2499.0152424645703
358,2385.9369389609674,2179.8181714217303
359,2386.2184998125786,2801.963265828706
360,2387.1101235207016,2698.3512878337347
361,2387.447646043329,2242.689378211097
362,2388.1229861731167,2931.637552644294
363,2389.8541324753182,2712.2810176880516
364,2390.9860854285394,2199.4333150862817
365,2394.0588442688063,2445.193707351483
366,2394.059473442193,2491.2809945662316
367,2396.319761922502,2115.8950217833103
368,2398.8228316145405,2679.2481492667016
369,2399.8015448914207,2871.2904864145744
370,2400.435266835628,2087.1233317597466
371,2401.053098191135,2669.814464221397
372,2402.48239517345,2199.225991215865
373,2405.878203640146,2366.7665641796757
374,2405.8782483110267,2394.395395358877
375,2405.8782960590274,2484.927812098178
376,2406.018773156548,2521.5081316809797
377,2407.911598069675,2701.1212575781556
378,2409.526865689841,2626.7159901947557
379,2409.822900882987,2493.4854105979202
380,2413.3980915511843,2899.0457995360725
381,2413.7863766705095,2159.3106947257997
382,2413.9689510647795,2515.7259960653873
383,2416.97862735734,2465.234987439877
384,2416.9786343408887,2264.976917773342
385,2417.169266890765,2331.250471905501
386,2420.1396574279815,3260.4170646801463
387,2423.027835756384,2005.2725061094504
388,2423.072916880083,2842.9249780143264
389,2428.234744666033,2832.5448623544794
390,2428.967415216365,2662.3130223715357
391,2429.4799294381664,2183.1417024551706
392,2429.576041921407,2349.877504688192
393,2429.5760537400506,2700.392295511289
