Origin_Node,End_Node,Type
MWD_SGV,GWB_MSG,Recharge
GWB_CEN,IRR_SMT,Groundwater
GWB_CEN,MWC_MA1,Groundwater
GWB_CEN,MWC_MA2,Groundwater
GWB_CEN,MWC_MA3,Groundwater
GWB_CEN,CTY_BEL,Groundwater
GWB_CEN,MWC_MON,Groundwater
GWB_CEN,CTY_LAX,Groundwater
GWB_CEN,CTY_LKW,Groundwater
GWB_CEN,CTY_HUP,Groundwater
GWB_CEN,CTY_DOW,Groundwater
GWB_CEN,CTY_CER,Groundwater
GWB_CEN,MWC_BLS,Groundwater
GWB_CEN,CWD_SAV,Groundwater
GWB_CEN,CWD_PIC,Groundwater
GWB_CEN,CWD_ORC,Groundwater
GWB_CEN,CWD_LAH,Groundwater
GWB_CEN,IOU_CAW,Groundwater
GWB_CEN,IOU_CWS,Groundwater
GWB_CEN,IOU_SGV,Groundwater
GWB_CEN,PRV_CEN,Groundwater
GWB_CEN,PRV_COC,Groundwater
GWB_CEN,MWD_CBS,Groundwater
GWB_CEN,CTY_WHT,Groundwater
GWB_CEN,CTY_VER,Groundwater
GWB_CEN,CTY_SGT,Groundwater
GWB_CEN,CTY_SIG,Groundwater
GWB_CEN,CTY_PCR,Groundwater
GWB_CEN,CTY_PAR,Groundwater
GWB_CEN,CTY_SFS,Groundwater
GWB_CEN,CTY_NOR,Groundwater
GWB_CEN,CTY_LYN,Groundwater
GWB_CEN,IOU_SWS,Groundwater
GWB_CEN,CTY_LBH,Groundwater
GWB_CEN,CTY_CPT,Groundwater
GWB_CEN,IOU_GSM,Groundwater
GWB_CHI,IOU_GSM,Groundwater
GWB_CHI,CTY_PNM,Groundwater
CTY_GDL,CWD_LA1,Transfers
GWB_HOL,CTY_BHL,Groundwater
GWB_MSG,MWC_CDM,Groundwater
GWB_MSG,IOU_SWS,Groundwater
GWB_MSG,IOU_CAW,Groundwater
GWB_MSG,CTY_SPA,Groundwater
GWB_MSG,CTY_AZU,Groundwater
GWB_MSG,CWD_VAL,Groundwater
GWB_MSG,IOU_SGV,Groundwater
GWB_MSG,CWD_SGB,Groundwater
GWB_MSG,CTY_ELM,Groundwater
GWB_MSG,CTY_MON,Groundwater
GWB_MSG,CTY_GDR,Groundwater
GWB_MSG,CTY_ARC,Groundwater
GWB_MSG,CWD_LAP,Groundwater
GWB_MSG,CTY_ALH,Groundwater
GWB_MSG,CTY_IND,Groundwater
GWB_MSG,CTY_IRW,Groundwater
GWB_MSG,CTY_WHT,Groundwater
GWB_MSG,CTY_COV,Groundwater
GWB_MSG,IOU_GSM,Groundwater
GWB_MSG,MWC_COV,Groundwater
GWB_MSG,PRV_MSG,Groundwater
GWB_MSG,CTY_MTP,Groundwater
GWB_MSG,PRV_MOC,Groundwater
IOU_SGV,MWC_SSL,Groundwater
IOU_SGV,MWC_AMA,Groundwater
MWD_USG,GWB_MSG,Groundwater
MWD_THV,GWB_MSG,Groundwater
GWB_MSG,GWB_CEN,Groundwater
GWB_PUE,CWD_WVA,Groundwater
GWB_PUE,CWD_ROW,Groundwater
GWB_PUE,CTY_IND,Groundwater
GWB_PUE,GWB_MSG,Groundwater
GWB_RAY,CTY_PAS,Groundwater
GWB_RAY,IRR_KIN,Groundwater
GWB_RAY,MWC_RUB,Groundwater
GWB_RAY,MWC_LAV,Groundwater
GWB_RAY,CTY_ARC,Groundwater
GWB_RAY,IOU_CAW,Groundwater
GWB_RAY,PRV_RAY,Groundwater
GWB_RAY,CTY_SIE,Groundwater
GWB_RAY,IRR_LAC,Groundwater
GWB_RAY,MWC_SSL,Groundwater
GWB_SFE,CTY_BUR,Groundwater
GWB_SFE,CTY_GDL,Groundwater
GWB_SFE,CTY_LAX,Groundwater
GWB_SMC,CTY_SMC,Groundwater
GWB_SPA,CTY_PNM,Groundwater
GWB_SPA,CWD_WVA,Groundwater
GWB_SYL,CTY_SFE,Groundwater
GWB_SYL,CTY_LAX,Groundwater
GWB_VER,CTY_GDL,Groundwater
GWB_VER,CWD_CRE,Groundwater
GWB_WCS,IOU_GSM,Groundwater
GWB_WCS,CTY_MBC,Groundwater
GWB_WCS,CTY_ING,Groundwater
GWB_WCS,CTY_TOR,Groundwater
GWB_WCS,CTY_LOM,Groundwater
GWB_WCS,IOU_CAW,Groundwater
GWB_WCS,MWD_WCB,Groundwater
GWB_WCS,PRV_WCS,Groundwater
GWB_WCS,PRV_WOC,Groundwater
GWB_SIX,IOU_GSM,Groundwater
GWB_SIX,CTY_PNM,Groundwater
GWB_SIX,CTY_LAV,Groundwater
GWB_SIX,PRV_SIX,Groundwater
GWB_SIX,CTY_CLM,Groundwater
INF_SWP,INF_CAS,Imported
INF_CAS,MWD_MET,Imported
INF_SWP,MWD_SGV,Imported
INF_SWP,MWD_MET,Imported
INF_SWP,INF_DVR,Imported
INF_DVR,MWD_MET,Imported
INF_COL,INF_DVR,Imported
INF_COL,MWD_MET,Imported
INF_COL,INF_LMR,Imported
INF_LMR,MWD_MET,Imported
SUR_OWN,INF_LAR,Imported
SUR_MON,CTY_LAX,Infrastructure
SUR_OWN,CTY_LAX,Imported
INF_LAR,CTY_LAX,Imported
MWD_WRD,INF_CSB,Infrastructure
INF_CSB,GWB_WCS,Recharge
MWD_CBS,CTY_CER,Imported
MWD_CBS,IOU_CWS,Imported
MWD_CBS,CTY_DOW,Imported
MWD_CBS,CTY_HUP,Imported
MWD_CBS,CWD_LAH,Imported
MWD_CBS,CWD_ORC,Imported
MWD_CBS,MWC_BLS,Imported
MWD_CBS,CTY_LYN,Imported
MWD_CBS,CTY_NOR,Imported
MWD_CBS,CTY_SFS,Imported
MWD_CBS,CTY_PAR,Imported
MWD_CBS,CTY_SIG,Imported
MWD_CBS,CTY_VER,Imported
MWD_CBS,IOU_PWC,Imported
MWD_CBS,MWD_WRD,Imported
MWD_CBS,IOU_SWS,Imported
MWD_CBS,IOU_GSM,Imported
MWD_FTH,CWD_CRE,Imported
MWD_FTH,IRR_LAC,Imported
MWD_FTH,MWC_MCR,Imported
MWD_FTH,MWC_VWC,Imported
MWD_FTH,MWC_LFL,Imported
MWD_FTH,MWC_RUB,Imported
MWD_FTH,MWC_LAV,Imported
MWD_MET,CTY_SMC,Imported
MWD_MET,CTY_BHL,Imported
MWD_MET,CTY_BUR,Imported
MWD_MET,CTY_GDL,Imported
MWD_MET,CTY_LAX,Imported
INF_SWP,CTY_LAX,Imported
MWD_MET,MWD_CBS,Imported
MWD_MET,CTY_LBH,Imported
MWD_MET,CTY_CPT,Imported
MWD_MET,MWD_FTH,Imported
MWD_MET,CTY_PAS,Imported
