Origin_Node,End_Node,Type
MWD_MET,CTY_SMR,Imported
MWD_MET,MWD_USG,Imported
MWD_MET,MWD_THV,Imported
MWD_MET,MWD_WCB,Imported
MWD_MET,INF_CSB,Imported
MWD_MET,CTY_TOR,Imported
MWD_MET,MWD_LVI,Imported
MWD_MET,IOU_SGV,Imported
MWD_MET,CTY_SFE,Imported
MWD_MET,IOU_CAW,Imported
MWD_MET,CTY_SFS,Imported
IOU_SGV,CTY_IND,Transfers
MWD_THV,CTY_COV,Imported
MWD_THV,CTY_GDR,Imported
MWD_THV,IOU_GSM,Imported
MWD_THV,IOU_SWS,Imported
MWD_THV,CTY_LAV,Imported
MWD_THV,CWD_ROW,Imported
MWD_THV,CWD_WVA,Imported
MWD_THV,CTY_PNM,Imported
MWD_USG,CTY_ALH,Imported
MWD_USG,CWD_VAL,Imported
MWD_USG,IOU_SWS,Imported
MWD_USG,IOU_CAW,Imported
MWD_USG,IOU_GSM,Imported
MWD_WCB,IOU_CWS,Imported
MWD_WCB,MWD_WRD,Imported
MWD_WCB,IOU_CAW,Imported
MWD_WCB,CWD_LA2,Imported
MWD_WCB,IOU_GSM,Imported
MWD_WCB,CTY_ELS,Imported
MWD_WCB,CTY_MBC,Imported
SPG_BEN,GWB_MSG,Recharge
SPG_BDS,GWB_MSG,Recharge
SPG_BRF,GWB_SFE,Recharge
SPG_BVS,GWB_MSG,Recharge
SPG_CIT,GWB_MSG,Recharge
SPG_DOM,GWB_WCS,Recharge
SPG_EAB,GWB_RAY,Recharge
SPG_ESG,GWB_RAY,Recharge
SPG_FOR,GWB_MSG,Recharge
SPG_HSG,GWB_SFE,Recharge
SPG_IRW,GWB_MSG,Recharge
SPG_LIT,GWB_MSG,Recharge
SPG_LOS,GWB_MSG,Recharge
SPG_LPB,GWB_SFE,Recharge
SPG_PCS,GWB_SFE,Recharge
SPG_PEC,GWB_MSG,Recharge
SPG_RSF,GWB_CEN,Recharge
SPG_SND,GWB_MSG,Recharge
SPG_SGY,GWB_MSG,Recharge
SPG_SGY,GWB_CEN,Recharge
SPG_SGC,GWB_CEN,Recharge
SPG_ANI,GWB_RAY,Recharge
SPG_SFG,GWB_MSG,Recharge
SPG_SAW,GWB_MSG,Recharge
SPG_SMD,GWB_RAY,Recharge
SPG_WAL,GWB_MSG,Recharge
CTY_SMC,WRP_SMR,Wastewater
WRP_SMR,CTY_SMC,Recycling
CTY_BUR,WRP_BUR,Wastewater
WRP_BUR,CTY_BUR,Recycling
CTY_GDL,WRP_GDL,Wastewater
CTY_LAX,WRP_GDL,Wastewater
WRP_GDL,CTY_GDL,Recycling
WRP_GDL,CTY_LAX,Recycling
WRP_GDL,CTY_PAS,Recycling
CTY_LAX,WRP_TIL,Wastewater
WRP_TIL,CTY_LAX,Recycling
CTY_LAX,WRP_TER,Wastewater
WRP_TER,MWD_WRD,Recycling
WRP_HYP,WRP_LIT,Recycling
WRP_LIT,MWD_WCR,Recycling
MWD_WCR,INF_CSB,Recycling
WRP_LOC,CTY_CER,Recycling
WRP_LOC,MWD_CBR,Recycling
WRP_SJC,MWD_CBR,Recycling
MWD_CBR,CTY_BEL,Recycling
MWD_CBR,IOU_PWC,Recycling
MWD_CBR,CTY_HUP,Recycling
WRP_LOC,CTY_LKW,Recycling
MWD_CBR,MWC_BLS,Recycling
WRP_LOC,CTY_BEL,Recycling
MWD_CBR,CTY_NOR,Recycling
MWD_CBR,CTY_PAR,Recycling
MWD_CBR,CTY_SGT,Recycling
MWD_CBR,CTY_WHT,Recycling
MWD_CBR,CTY_PCR,Recycling
MWD_CBR,CWD_PIC,Recycling
MWD_CBR,IOU_PWC,Recycling
WRP_SJC,IOU_SWS,Recycling
CTY_LBH,WRP_LBP,Wastewater
WRP_LBP,CTY_LBH,Recycling
WRP_LBP,MWD_WRD,Recycling
WRP_WHP,MWD_WRD,Recycling
WRP_WHP,MWD_USR,Recycling
WRP_SJC,MWD_USR,Recycling
WRP_SJC,CTY_IND,Recycling
WRP_SJC,WRP_JWP,Recycling
MWD_CBR,IOU_GSM,Recycling
WRP_PON,CTY_PNM,Recycling
WRP_PON,CWD_WVA,Recycling
WRP_PON,WRP_JWP,Recycling
WRP_SJC,CWD_ROW,Recycling
WRP_TAP,MWD_LVR,Recycling
WRP_GDL,MWD_FTR,Recycling
WRP_SJC,MWD_WRD,Recycling
MWD_CBR,CTY_DOW,Recycling
MWD_CBR,CTY_SFS,Recycling
MWD_CBR,CTY_VER,Recycling
MWD_WCR,GWB_WCS,Recycling
MWD_WCR,CTY_MBC,Recycling
MWD_WCR,CTY_ING,Recycling
MWD_WCR,CTY_ELS,Recycling
MWD_WCR,CTY_TOR,Recycling
MWD_WCR,IOU_CAW,Recycling
MWD_WCR,PRV_WMI,Recycling
MWD_WCR,CTY_LAX,Recycling
CTY_LAX,WRP_HYP,Wastewater
WRP_BUR,WRP_HYP,Wastewater
WRP_BUR,SUR_LAU,Wastewater
WRP_TIL,WRP_HYP,Wastewater
WRP_GDL,WRP_HYP,Wastewater
CTY_BEL,WRP_JWP,Wastewater
CTY_ALH,WRP_LCP,Wastewater
CTY_ALH,WRP_WHP,Wastewater
CTY_ARC,WRP_SJC,Wastewater
CTY_ARC,WRP_WHP,Wastewater
CTY_AZU,WRP_SJC,Wastewater
CTY_BHL,WRP_HYP,Wastewater
CTY_BUR,WRP_BUR,Wastewater
CTY_BUR,WRP_HYP,Wastewater
CTY_CER,WRP_LBP,Wastewater
CTY_CLM,WRP_SJC,Wastewater
CTY_CPT,WRP_JWP,Wastewater
CTY_COV,WRP_SJC,Wastewater
CTY_DOW,WRP_LCP,Wastewater
CTY_DOW,WRP_JWP,Wastewater
CTY_ELM,WRP_LCP,Wastewater
CTY_ELM,WRP_WHP,Wastewater
CTY_ELS,WRP_HYP,Wastewater
CTY_GDL,WRP_HYP,Wastewater
CTY_GDR,WRP_SJC,Wastewater
CTY_HUP,WRP_JWP,Wastewater
CTY_IND,WRP_JWP,Wastewater
CTY_ING,WRP_JWP,Wastewater
CTY_IRW,WRP_JWP,Wastewater
CTY_LAV,WRP_PON,Wastewater
CTY_LKW,WRP_JWP,Wastewater
CTY_LKW,WRP_LBP,Wastewater
CTY_LOM,WRP_JWP,Wastewater
CTY_LBH,WRP_JWP,Wastewater
CTY_LYN,WRP_JWP,Wastewater
CTY_MBC,WRP_JWP,Wastewater
CTY_MON,WRP_SJC,Wastewater
CTY_MON,WRP_WHP,Wastewater
CTY_MTP,WRP_JWP,Wastewater
CTY_NOR,WRP_LCP,Wastewater
CTY_NOR,WRP_JWP,Wastewater
CTY_PAR,WRP_JWP,Wastewater
CTY_PAS,WRP_SJC,Wastewater
CTY_PAS,WRP_WHP,Wastewater
CTY_PCR,WRP_LCP,Wastewater
CTY_PCR,WRP_JWP,Wastewater
CTY_PNM,WRP_PON,Wastewater
CTY_SFE,WRP_HYP,Wastewater
CTY_SMR,WRP_SJC,Wastewater
CTY_SFS,WRP_LCP,Wastewater
CTY_SMC,WRP_SMR,Wastewater
CTY_SMC,WRP_HYP,Wastewater
CTY_SIE,WRP_SJC,Wastewater
CTY_SIE,WRP_WHP,Wastewater
CTY_SIG,WRP_JWP,Wastewater
CTY_SGT,WRP_JWP,Wastewater
CTY_SPA,WRP_LCP,Wastewater
CTY_SPA,WRP_WHP,Wastewater
CTY_TOR,WRP_JWP,Wastewater
CTY_VER,WRP_JWP,Wastewater
CTY_WHT,WRP_LCP,Wastewater
CWD_CRE,WRP_HYP,Wastewater
CWD_LAH,SUR_PAC,Wastewater
CWD_LAP,WRP_SJC,Wastewater
CWD_ORC,WRP_LCP,Wastewater
CWD_PIC,WRP_LCP,Wastewater
CWD_PIC,WRP_JWP,Wastewater
CWD_ROW,WRP_SJC,Wastewater
CWD_SGB,WRP_LCP,Wastewater
CWD_SGB,WRP_WHP,Wastewater
CWD_SAV,WRP_JWP,Wastewater
CWD_VAL,WRP_SJC,Wastewater
CWD_WVA,WRP_SJC,Wastewater
CWD_LA1,WRP_HYP,Wastewater
CWD_LA2,WRP_HYP,Wastewater
CWD_LA3,WRP_HYP,Wastewater
CUS_CPL,WRP_SJC,Wastewater
CUS_FIR,SUR_PAC,Wastewater
CUS_SAN,WRP_SJC,Wastewater
IOU_CWS,WRP_JWP,Wastewater
IOU_CAW,WRP_JWP,Wastewater
IOU_EPS,WRP_SJC,Wastewater
IOU_EPS,WRP_WHP,Wastewater
IOU_GSM,WRP_JWP,Wastewater
IOU_GSR,WRP_SJC,Wastewater
IOU_PWC,WRP_JWP,Wastewater
IOU_SGV,WRP_LCP,Wastewater
IOU_SGV,WRP_JWP,Wastewater
IOU_SWS,WRP_SJC,Wastewater
IRR_KIN,WRP_SJC,Wastewater
IRR_KIN,WRP_WHP,Wastewater
IRR_LAC,WRP_LCP,Wastewater
IRR_LAC,WRP_WHP,Wastewater
IRR_SMT,WRP_JWP,Wastewater
MWD_LVI,WRP_TAP,Wastewater
WRP_TAP,WRP_HYP,Wastewater
MWD_LVI,WRP_HYP,Wastewater
MWC_AMA,WRP_LCP,Wastewater
MWC_AMA,WRP_WHP,Wastewater
MWS_BHG,WRP_JWP,Wastewater
MWC_BLS,WRP_JWP,Wastewater
MWC_CDM,WRP_LCP,Wastewater
MWC_DEL,WRP_LCP,Wastewater
MWC_HEM,WRP_LCP,Wastewater
MWC_LFL,WRP_SJC,Wastewater
MWC_LFL,WRP_WHP,Wastewater
MWC_LAV,WRP_SJC,Wastewater
MWC_LAV,WRP_WHP,Wastewater
MWC_LYN,WRP_JWP,Wastewater
MWC_MA1,WRP_JWP,Wastewater
MWC_MA2,WRP_JWP,Wastewater
MWC_MA3,WRP_JWP,Wastewater
MWC_MCR,WRP_LAC,Wastewater
MWC_MON,WRP_JWP,Wastewater
MWC_RUB,WRP_SJC,Wastewater
MWC_RUB,WRP_WHP,Wastewater
MWC_RUR,WRP_LCP,Wastewater
MWC_STG,WRP_LCP,Wastewater
MWC_SSL,WRP_SJC,Wastewater
MWC_SSL,WRP_WHP,Wastewater
MWC_180,WRP_JWP,Wastewater
MWC_349,WRP_JWP,Wastewater
MWC_VHT,WRP_SJC,Wastewater
MWC_VVW,WRP_SJC,Wastewater
MWC_VWC,WRP_LCP,Wastewater
MWC_VWC,WRP_WHP,Wastewater
MWC_WPK,WRP_JWP,Wastewater
PRK_FBP,WRP_SJC,Wastewater
MWC_COV,WRP_SJC,Wastewater
PRV_WOC,WRP_JWP,Wastewater
PRV_WCS,WRP_JWP,Wastewater
PRV_CEN,WRP_JWP,Wastewater
PRV_COC,WRP_JWP,Wastewater
PRV_SIX,WRP_PON,Wastewater
PRV_RAY,WRP_SJC,Wastewater
PRV_MSG,WRP_JWP,Wastewater
PRV_MOC,WRP_JWP,Wastewater
PRV_WMI,WRP_HYP,Wastewater
WRP_JWP,SUR_PAC,Wastewater
WRP_BUR,WRP_HYP,Wastewater
WRP_GDL,WRP_HYP,Wastewater
WRP_TIL,WRP_HYP,Wastewater
WRP_HYP,SUR_PAC,Wastewater
WRP_LBP,WRP_JWP,Wastewater
WRP_LCP,WRP_JWP,Wastewater
WRP_SJP,WRP_JWP,Wastewater
WRP_PON,WRP_SJP,Wastewater
WRP_WHP,WRP_JWP,Wastewater
SUR_ASE,CTY_PAS,Surface Supply
SUR_LAC,IRR_LAC,Surface Supply
SUR_MIL,MWC_LAV,Surface Supply
SUR_RCN,MWC_RUB,Surface Supply
SUR_SAU,CTY_SIE,Surface Supply
SUR_SAE,CTY_PNM,Surface Supply
SUR_SDM,IOU_GSM,Surface Supply
SUR_SGU,CTY_AZU,Surface Supply
SUR_SGU,MWC_COV,Surface Supply
SUR_SGU,IOU_CAW,Surface Supply
WRP_LBH,SUR_COY,Wastewater Discharge to Surface
SUR_COY,SUR_SGO,Surface
SUR_SGO,SUR_PAC,Surface
CAL_42B,SUR_SGO,Surface
WRP_SJP,SUR_SGL,Wastewater Discharge to Surface
WRP_SJC,SUR_SJC,Wastewater Discharge to Surface
SUR_SJC,INF_WHS,Surface
SUR_SGC,SPG_SGC,Surface
SUR_SGU,SUR_SGM,Surface
SUR_SGM,INF_SFN,Surface
INF_SFN,SUR_SGP,Surface
CAL_304,SUR_SGP,Surface
SUR_WLU,SUR_WLL,Surface
SUR_WLL,CAL_304,Surface
SUR_WLU,SPG_WAL,Surface
WRP_PON,SUR_SJC,Wastewater Discharge to Surface
MWD_CBS,SUR_THM,Surface
SUR_THM,SUR_SJC,Surface
SUR_SGP,INF_WHS,Surface
INF_WHS,INF_WHR,Surface
INF_WHS,SUR_SGC,Surface
SUR_SGC,SUR_SGL,Surface
WRP_WHT,INF_WHR,Wastewater Discharge to Surface
SUR_BDL,CAL_274,Surface
CAL_274,SUR_WHIT,Surface
SUR_SDL,SUR_BDL,Surface
SUR_SND,INF_SND,Surface
INF_SND,SUR_SDU,Surface
SUR_SDU,SPG_SND,Surface
SUR_SDU,SUR_SDM,Surface
MWD_CBS,SUR_SDM,Surface
MWD_SGV,SUR_SDM,Surface
SUR_SDM,SPG_FOR,Surface
SUR_SDM,SUR_SDL,Surface
SUR_SDL,SPG_BEN,Surface
SUR_BDU,SUR_BDS,Surface
SUR_BDS,SUR_BDM,Surface
SUR_BDM,SUR_BDL,Surface
SUR_BDU,SPG_BDS,Surface
MWD_SGV,SUR_BDM,Surface
SUR_BDM,SPG_CIT,Surface
SUR_BDL,SPG_IRW,Surface
MWD_THV,SPG_LIT,Surface
SUR_LIT,SPG_LIT,Surface
SUR_LIT,SUR_BDM,Surface
SPG_LIT,SUR_BDL,Surface
MWD_SGV,SPG_LOS,Surface
SUR_LOS,INF_LOD,Surface
INF_LOD,SPG_LOS,Surface
SUR_SDU,SUR_PUD,Surface
SUR_PUD,INF_PUD,Surface
INF_LOD,INF_PUD,Surface
INF_PUD,SUR_WLU,Surface
SUR_SGM,INF_SFD,Surface
SUR_BRD,SUR_SGU,Surface
SUR_SGU,SPG_SFG,Surface
MWD_SGV,SUR_SGU,Surface
SUR_FSH,SUR_SGU,Surface
SUR_SGU,SPG_SGC,Surface
MWD_SGV,SPG_SGY,Surface
MWD_USG,SUR_SGU,Surface
SUR_BVS,SPG_BVS,Surface
SUR_SGM,SPG_BVS,Surface
PRV_SGR,SUR_COV,Surface
SUR_COV,SPG_BEN,Surface
SUR_COV,SUR_BDM,Surface
SUR_SGD,INF_SGD,Surface
INF_SGD,SUR_MOR,Surface
SUR_MOR,INF_MOR,Surface
INF_SGD,PRV_SGR,Wastewater Discharge to Surface
INF_MOR,SUR_SGU,Surface
SUR_RHL,CAL_45C,Surface
INF_WHR,SUR_RHL,Surface
INF_WHR,INF_RSG,Surface
SUR_MTB,SUR_RHL,Surface
CAL_064,INF_WHR,Surface
SUR_EAT,SUR_EAB,Surface
SUR_EAB,CAL_318,Surface
SUR_EAT,SPG_ESG,Surface
SUR_EAB,SPG_EAB,Surface
CAL_318,SUR_RHU,Surface
SPG_PEC,CAL_192,Surface
CAL_192,SUR_RHU,Surface
SUR_RHU,CAL_064,Surface
SUR_SAL,SPG_PEC,Surface
SUR_SAC,INF_SAD,Surface
INF_SAD,SUR_SAU,Surface
SUR_SAU,SPG_ANI,Surface
SUR_SAU,SPG_SMD,Surface
SUR_SAU,SUR_SAL,Surface
SUR_SMD,SPG_SMD,Surface
SUR_SMD,SUR_SAU,Surface
CAL_319,SUR_PAC,Surface
SUR_LAL,CAL_319,Surface
SUR_CMP,SUR_LAL,Surface
CAL_45C,SUR_LAL,Surface
SUR_LAU,CAL_57C,Surface
SUR_ASE,SUR_LAL,Surface
WRP_GDL,SUR_LAU,Surface
CAL_57C,SUR_LAL,Surface
SUR_VER,SUR_LAU,Surface
BUR_WRP,SUR_LAU,Wastewater Discharge to Surface
SUR_PCD,INF_PCD,Surface
INF_PCD,SUR_PCU,Surface
WRP_TIL,INF_SPV,Wastewater Discharge to Surface
SUR_SPV,INF_SPV,Surface
SUR_SPV,SUR_LAU,Surface
INF_SPV,SUR_LAU,Surface
SUR_PCU,SUR_PCL,Surface
SUR_PCD,SUR_LAU,Surface
SPG_PCS,SUR_PCD,Surface
SUR_TUJ,SUR_LAU,Surface
SUR_PCU,SPG_LPB,Surface
SPG_LPB,SUR_PCL,Surface
SPG_LPB,SPG_LOP,Surface
CTY_LAX,SUR_TUJ,Surface
SUR_PCL,SPG_PCS,Surface
SUR_PCL,SUR_TUJ,Surface
SUR_BRF,SPG_BRF,Surface
SPG_BRF,SUR_PCL,Surface
SUR_BTD,INF_BTD,Surface
INF_BTD,SUR_HAN,Surface
SUR_HAN,INF_HAN,Surface
INF_HAN,SUR_TUU,Surface
SUR_TUU,SPG_HSG,Surface
SUR_TUU,SPG_TUJ,Surface
SUR_TUU,SUR_TUJ,Surface
CAL_F38,SUR_PAC,Surface
SUR_LAL,SPG_DOM,Surface
SUR_SAW,SPG_SAW,Surface
SUR_SAW,SPG_PEC,Surface
INF_SFD,INF_BNV,Surface
SUR_BAL,SUR_BAC,Surface
SUR_BAC,SUR_PAC,Surface
SUR_DOM,SUR_PAC,Surface
SUR_MAC,SUR_MAL,Surface
SUR_MAL,SUR_PAC,Surface
SUR_OWN,SUR_OWL,Surface Water
CTY_GDR,IOU_SWS,Transfers
CTY_CER,IOU_GSM,Transfers
CTY_SFS,CTY_NOR,Transfers
IOU_SGV,IOU_SWS,Transfers
MWC_COV,IOU_SWS,Transfers
MWC_COV,CWD_VAL,Transfers
MWC_COV,CTY_COV,Transfers
MWC_COV,IOU_GSM,Transfers
MWC_COV,CWD_VAL,Transfers
MWC_CDM,IOU_SWS,Transfers
CWD_WVA,IOU_SWS,Transfers
WRP_LCP,SUR_PAC,Wastewater Discharge to Surface
GWB_MSG,MWC_VHT,Groundwater
SUR_SGU,MWC_VHT,Surface Supply
WRP_LBP,SUR_PAC,Wastewater Discharge to Surface
SUR_SGL,SUR_PAC,Surface
SPG_DOM,SUR_LAL,Surface
GWB_MSG,MWC_AMA,Groundwater
MWC_MCR_INDOOR,WRP_LAC,Wastewater
WRP_HYP,WRP_LIT,Wastewater
PRV_WOC,SUR_OIL,Surface
PRV_COC,SUR_OIL,Surface
WRP_LAC,SUR_ASE,Wastewater Discharge to Surface
MWD_LVR,MWD_LVI,Reuse
MWD_WCB,CTY_LOM,Imported
MWD_USG,CTY_SIE,Imported
GWB_MSG,CTY_SIE,Groundwater
GWB_MSG,MWC_SSL,Groundwater
GWB_RAY,MWC_VWC,Groundwater
MWD_USG,CTY_MON,Imported
MWD_USG,CTY_SPA,Imported
GWB_MSG,CWD_ROW,Groundwater
GWB_RAY,CWD_SGB,Groundwater
GWB_MSG,CWD_WVA,Groundwater
