X,Y,id,Type,Artes_ID,Notes,Code
-13150785.2321742,4040206.02030393,"1",City_Retailer,CTY_ALH,,CTY
-13140209.0953788,4047221.18374341,"2",City_Retailer,CTY_ALH,,CTY
-13125602.5236765,4045115.79721549,"3",City_Retailer,CTY_AZU,,CTY
-13149622.854657,4013665.61351458,"4",City_Retailer,CTY_BEL,,CTY
-13180494.3715911,4039307.44163259,"5",City_Retailer,CTY_BHL,,CTY
-13171541.4058231,4054569.09682287,"6",City_Retailer,CTY_BUR,,CTY
-13143217.2299218,4011196.37936808,"7",City_Retailer,CTY_CER,,CTY
-13122631.0101991,4040399.932338,"8",City_Retailer,CTY_COV,,CTY
-13160507.1341405,4014761.37556865,"9",City_Retailer,CTY_CPT,,CTY
-13150421.3114386,4020619.26847089,"10",City_Retailer,CTY_DOW,,CTY
-13139922.767994,4038596.2111976,"11",City_Retailer,CTY_ELM,,CTY
-13180474.2790784,4017648.20828058,"12",City_Retailer,CTY_ELS,,CTY
-13163051.4018778,4052107.0859738,"13",City_Retailer,CTY_GDL,,CTY
-13119009.9755206,4046575.08965017,"14",City_Retailer,CTY_GDR,,CTY
-13159810.8898997,4026088.26854122,"15",City_Retailer,CTY_HUP,,CTY
-13174239.0042477,4023674.98435588,"16",City_Retailer,CTY_ING,,CTY
-13109423.7169017,4045878.69944686,"17",City_Retailer,CTY_LAV,,CTY
-13177325.8770843,4045929.97288995,"18",City_Retailer,CTY_LAX,,CTY
-13153195.7050594,4003970.05033096,"19",City_Retailer,CTY_LBH,,CTY
-13150110.4368353,4009523.53313439,"20",City_Retailer,CTY_LKW,,CTY
-13171153.2152248,4001319.4192793,"21",City_Retailer,CTY_LOM,,CTY
-13158281.8406594,4018769.76623569,"22",City_Retailer,CTY_LYN,,CTY
-13179973.2292623,4014141.14229518,"23",City_Retailer,CTY_MBC,,CTY
-13135429.5419129,4051242.30345408,"24",City_Retailer,CTY_MON,,CTY
-13150578.1579835,4035797.56144569,"25",City_Retailer,CTY_MTP,,CTY
-13144107.6366701,4015867.07481542,"26",City_Retailer,CTY_NOR,,CTY
-13154254.7700135,4014889.35623805,"27",City_Retailer,CTY_PAR,,CTY
-13150523.1313953,4049784.36115485,"28",City_Retailer,CTY_PAS,,CTY
-13147401.584935,4024493.78389293,"28",City_Retailer,CTY_PCR,,CTY
-13109199.0417316,4036455.04722864,"29",City_Retailer,CTY_PNM,,CTY
-13184180.7561985,4067667.20000509,"30",City_Retailer,CTY_SFE,,CTY
-13142288.4430967,4019221.24610722,"31",City_Retailer,CTY_SFS,,CTY
-13157828.7028111,4021874.14595635,"32",City_Retailer,CTY_SGT,,CTY
-13141395.3474633,4051434.85412531,"33",City_Retailer,CTY_SIE,,CTY
-13154451.9553282,4002235.13031768,"34",City_Retailer,CTY_SIG,,CTY
